Lags,ALL,,,,,,,WARM,,,,,,,COLD,,,,,,
Day,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,Low95%RR,Uper95%RR,AirPoll,Beta,SE,Pvalue,RR,LowRR,UperRR
2,CO,0.02168163,0.04041566,0.59167274,1.002170515,0.994263212,1.010140704,CO,0.0187693,0.04961341,0.70522393,1.001878693,0.992183411,1.011668713,CO,0.01925912,0.03491311,0.58123927,1.001927768,0.995095011,1.008807441
3,CO,-0.03287526,0.04048254,0.41680152,0.996717872,0.988840629,1.004657866,CO,-0.01395387,0.04985326,0.77957262,0.998605586,0.988895489,1.008411028,CO,-0.04900312,0.03500783,0.16167456,0.995111675,0.988307053,1.001963147
4,CO,-0.01456839,0.04039916,0.71841318,0.998544222,0.990668735,1.006482316,CO,-0.01172821,0.04941743,0.81241601,0.998827866,0.989200105,1.008549334,CO,-0.01814065,0.03503944,0.60468787,0.998187579,0.991355783,1.005066457
5,CO,0.02221527,0.04030415,0.58154037,1.002223996,0.994338003,1.010172532,CO,-0.01712873,0.04940677,0.72884801,0.998288593,0.988668095,1.008002706,CO,0.03895289,0.03490941,0.26457726,1.003902885,0.997057383,1.010795388
6,CO,-0.0311372,0.04065981,0.44385146,0.996891123,0.988978148,1.00486741,CO,-0.03381455,0.04973071,0.49658187,0.996624256,0.986957131,1.006386069,CO,-0.02986618,0.03528603,0.39738971,0.997017838,0.99014619,1.003937174
7,CO,-0.01321946,0.04084678,0.74623467,0.998678927,0.990715455,1.006706411,CO,-0.0165208,0.0503336,0.7427616,0.998349284,0.988548607,1.008247127,CO,-0.01388555,0.035283,0.6939403,0.998612409,0.99173036,1.005542215
8,CO,-0.01614964,0.0411142,0.69449294,0.998386339,0.990373289,1.006464223,CO,-0.01036805,0.05079888,0.83828796,0.998963732,0.989066821,1.008959675,CO,-0.01874436,0.03546821,0.59719951,0.99812732,0.991212631,1.005090245
9,CO,-0.0563762,0.04120651,0.17136234,0.994378242,0.986379514,1.002441832,CO,0.009328535,0.051690037,0.856794209,1.000933289,0.990843782,1.011125534,CO,-0.09037513,0.03528485,0.01047232,0.991003203,0.984173237,0.997880567
10,CO,0.01697981,0.04126621,0.6807547,1.001699423,0.993630178,1.009834199,CO,0.11394426,0.05228198,0.02937141,1.01145959,1.001147816,1.021877574,CO,-0.02595121,0.03528173,0.46206166,0.997408243,0.99053474,1.004329443
11,CO,0.01249582,0.04166289,0.76425195,1.001250363,0.993107518,1.009459974,CO,0.0915004,0.05246002,0.08121893,1.00919203,0.998868517,1.019622238,CO,-0.02339954,0.03567138,0.5118859,0.997662782,0.990711859,1.004662472
12,CO,0.04857598,0.04173507,0.24454389,1.004869415,0.996683038,1.013123033,CO,0.143081431,0.052612879,0.006572185,1.014410995,1.004004014,1.024925849,CO,0.01006399,0.03569304,0.77799229,1.001006906,0.994028464,1.008034338
13,CO,0.03992989,0.04161082,0.33732537,1.004000972,0.99584592,1.012222805,CO,0.06663569,0.05244526,0.20396952,1.00668582,0.996390827,1.017087184,CO,0.03215037,0.03563391,0.3669951,1.003220211,0.996237885,1.010251473
14,CO,-0.002182818,0.041488326,0.958043598,0.999781742,0.991684771,1.007944824,CO,-0.002056207,0.05172639,0.968293569,0.9997944,0.989709322,1.009982245,CO,-0.003665412,0.035684171,0.91819295,0.999633526,0.992666384,1.006649567
0,NO2,0.000908827,0.000547697,0.097137696,1.008029748,0.998552061,1.017597392,NO2,0.000987872,0.000651476,0.12952397,1.008731171,0.997459855,1.020129853,NO2,0.000900141,0.000485545,0.063845808,1.007952697,0.999546667,1.01642942
1,NO2,-0.000267032,0.000547593,0.625832162,0.997652876,0.988274521,1.007120229,NO2,0.000324482,0.000647527,0.616327401,1.00285952,0.991721361,1.014122774,NO2,-0.000681413,0.000486369,0.161302161,0.994021509,0.985717647,1.002395325
2,NO2,0.000608462,0.000547873,0.266825854,1.005368828,0.99591313,1.014914304,NO2,0.001301229,0.000642673,0.042977324,1.011516627,1.000366053,1.02279149,NO2,4.63E-05,0.000488496,0.9245636,1.00040715,0.992013557,1.008871762
